code,age,trials,trials__correct,trials__keypresses__timestamp
u7j0h1gjs0hiS4RZ,25,423,True,2020-11-11T15:46:20.924000+00:00
u7j0h1gjs0hiS4RZ,25,423,True,2020-11-11T15:46:21.224000+00:00
u7j0h1gjs0hiS4RZ,25,423,True,2020-11-11T15:46:21.568000+00:00
u7j0h1gjs0hiS4RZ,25,423,True,2020-11-11T15:46:21.950000+00:00
u7j0h1gjs0hiS4RZ,25,423,True,2020-11-11T15:46:22.276000+00:00
u7j0h1gjs0hiS4RZ,25,424,True,2020-11-11T15:46:27.806000+00:00
u7j0h1gjs0hiS4RZ,25,424,True,2020-11-11T15:46:28.131000+00:00
u7j0h1gjs0hiS4RZ,25,424,True,2020-11-11T15:46:28.490000+00:00
u7j0h1gjs0hiS4RZ,25,424,True,2020-11-11T15:46:28.823000+00:00
u7j0h1gjs0hiS4RZ,25,424,True,2020-11-11T15:46:29.103000+00:00
u7j0h1gjs0hiS4RZ,25,425,True,2020-11-11T15:46:34.702000+00:00
u7j0h1gjs0hiS4RZ,25,425,True,2020-11-11T15:46:35.111000+00:00
u7j0h1gjs0hiS4RZ,25,425,True,2020-11-11T15:46:35.631000+00:00
u7j0h1gjs0hiS4RZ,25,425,True,2020-11-11T15:46:35.955000+00:00
u7j0h1gjs0hiS4RZ,25,425,True,2020-11-11T15:46:36.235000+00:00
u7j0h1gjs0hiS4RZ,25,426,True,2020-11-11T15:46:41.769000+00:00
u7j0h1gjs0hiS4RZ,25,426,True,2020-11-11T15:46:42.004000+00:00
u7j0h1gjs0hiS4RZ,25,426,True,2020-11-11T15:46:42.447000+00:00
u7j0h1gjs0hiS4RZ,25,426,True,2020-11-11T15:46:42.685000+00:00
u7j0h1gjs0hiS4RZ,25,426,True,2020-11-11T15:46:42.906000+00:00
u7j0h1gjs0hiS4RZ,25,427,True,2020-11-11T15:46:48.475000+00:00
u7j0h1gjs0hiS4RZ,25,427,True,2020-11-11T15:46:48.696000+00:00
u7j0h1gjs0hiS4RZ,25,427,True,2020-11-11T15:46:48.959000+00:00
u7j0h1gjs0hiS4RZ,25,427,True,2020-11-11T15:46:49.255000+00:00
u7j0h1gjs0hiS4RZ,25,427,True,2020-11-11T15:46:49.535000+00:00
u7j0h1gjs0hiS4RZ,25,428,True,2020-11-11T15:46:55.128000+00:00
u7j0h1gjs0hiS4RZ,25,428,True,2020-11-11T15:46:55.503000+00:00
u7j0h1gjs0hiS4RZ,25,428,True,2020-11-11T15:46:55.757000+00:00
u7j0h1gjs0hiS4RZ,25,428,True,2020-11-11T15:46:56.030000+00:00
u7j0h1gjs0hiS4RZ,25,428,True,2020-11-11T15:46:56.263000+00:00
u7j0h1gjs0hiS4RZ,25,429,True,2020-11-11T15:47:01.741000+00:00
u7j0h1gjs0hiS4RZ,25,429,True,2020-11-11T15:47:02.041000+00:00
u7j0h1gjs0hiS4RZ,25,429,True,2020-11-11T15:47:02.336000+00:00
